Age,Gender,Weight,Height,Activity,Goal,Meal,Description,Calories,Protein,Fat,Fiber
27,Female,49,180,Very active,Weight Gain,Lunch,"BEANS,NAVY,MATURE SEEDS,CKD,BLD,WO/SALT",140,8.23,0.62,10.5
27,Female,49,180,Very active,Weight Gain,Lunch,"OIL,VEG,SUNFLOWER,HI OLEIC (70% & OVER)",884,0.0,100.0,0.0
27,Female,49,180,Very active,Weight Gain,Dinner,"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",364,17.03,7.97,14.30000019
27,Female,49,180,Very active,Weight Gain,Dinner,"CAMPBELL SOUP,PREGO PASTA,TOMATO,BASIL & GARLIC ITAL SAU,RTS",72,1.6,1.6,2.400000095
57,Male,70,159,Sedentary,Weight Gain,Breakfast,"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",115,2.73,2.87,0.0
57,Male,70,159,Sedentary,Weight Gain,Breakfast,"SOUP,OYSTER STEW,CND,COND",48,1.72,3.13,0.0
57,Male,70,159,Sedentary,Weight Gain,Lunch,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,WO/SALT",127,8.67,0.5,6.400000095
57,Male,70,159,Sedentary,Weight Gain,Lunch,"CRANBERRY-APPLE JUC DRK,LO CAL,W/VIT C",19,0.1,0.0,0.100000001
57,Male,70,159,Sedentary,Weight Gain,Dinner,"ARCHWAY Home Style Cookies, Soft Sugar Drop",397,4.82,13.87,0.800000012
57,Male,70,159,Sedentary,Weight Gain,Dinner,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,RAW",201,18.58,13.49,0.0
55,Female,84,174,Sedentary,Maintain Weight,Breakfast,"COOKIES,OATMEAL,COMMLY PREP,FAT-FREE",326,5.9,1.5,7.300000191
55,Female,84,174,Sedentary,Maintain Weight,Breakfast,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BONE-IN,LN&FAT,CKD,BRLD",259,26.65,16.09,0.0
55,Female,84,174,Sedentary,Maintain Weight,Lunch,"CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S",380,9.23,5.1,6.599999905
55,Female,84,174,Sedentary,Maintain Weight,Lunch,"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,CKD,PAN-FRIED",193,27.37,6.51,0.0
55,Female,84,174,Sedentary,Maintain Weight,Dinner,"PUDDINGS,BANANA,DRY MIX,INST,PREP W/ WHL MILK",115,2.73,2.87,0.0
55,Female,84,174,Sedentary,Maintain Weight,Dinner,"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414,3.4,9.0,0.600000024
23,Female,87,180,Sedentary,Maintain Weight,Breakfast,"CHEESE,GOUDA",356,24.94,27.44,0.0
23,Female,87,180,Sedentary,Maintain Weight,Breakfast,"CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES",374,5.68,0.77,3.099999905
23,Female,87,180,Sedentary,Maintain Weight,Lunch,"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",53,4.08,0.82,0.800000012
23,Female,87,180,Sedentary,Maintain Weight,Lunch,"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414,3.4,9.0,0.600000024
23,Female,87,180,Sedentary,Maintain Weight,Dinner,"PIE,PUMPKIN,PREP FROM RECIPE",204,4.5,9.3,0.0
23,Female,87,180,Sedentary,Maintain Weight,Dinner,"CAKE,GINGERBREAD,PREP FROM RECIPE",356,3.9,16.4,0.0
37,Female,55,175,Lightly active,Weight Gain,Breakfast,"TURKEY,YOUNG HEN,MEAT ONLY,CKD,RSTD",175,29.25,5.51,0.0
37,Female,55,175,Lightly active,Weight Gain,Breakfast,HAM SALAD SPREAD,216,8.68,15.53,0.0
37,Female,55,175,Lightly active,Weight Gain,Lunch,"TURKEY,ALL CLASSES,MEAT&SKN&GIBLETS&NECK,RAW",157,20.37,7.77,0.0
37,Female,55,175,Lightly active,Weight Gain,Lunch,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",17,0.67,0.24,1.600000024
37,Female,55,175,Lightly active,Weight Gain,Dinner,"OSTRICH,OYSTER,CKD",159,28.81,3.97,0.0
37,Female,55,175,Lightly active,Weight Gain,Dinner,"CHESTNUTS,EUROPEAN,RAW,UNPEELED",213,2.42,2.26,8.100000381
36,Female,54,176,Very active,Fat Loss,Breakfast,"ORANGE-GRAPEFRUIT JUC,CND,UNSWTND",43,0.6,0.1,0.100000001
36,Female,54,176,Very active,Fat Loss,Breakfast,"CHICKPEAS (GARBANZO BNS,BENGAL GM),MATURE SEEDS,CND",119,4.95,1.14,4.400000095
36,Female,54,176,Very active,Fat Loss,Lunch,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN & FAT,HTD,RSTD",234,18.17,17.29,0.0
36,Female,54,176,Very active,Fat Loss,Lunch,"BEEF,BTTM SIRLOIN,TRI-TIP,LN,0"" FAT,SEL,CKD,RSTD",179,27.17,6.95,0.0
36,Female,54,176,Very active,Fat Loss,Dinner,"TOMATO SAU,NO SALT",42,1.3,0.2,1.5
36,Female,54,176,Very active,Fat Loss,Dinner,"TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,CKD,RSTD",170,28.02,5.64,0.0
22,Female,46,177,Moderately active,Maintain Weight,Breakfast,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,STWD",249,22.78,16.82,0.0
22,Female,46,177,Moderately active,Maintain Weight,Breakfast,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,RAW",157,21.89,7.02,0.0
22,Female,46,177,Moderately active,Maintain Weight,Lunch,"SALAD DRSNG,BLUE OR ROQUEFORT CHS,LO CAL",99,5.1,7.2,0.0
22,Female,46,177,Moderately active,Maintain Weight,Lunch,"MARGARINE-LIKE SPRD,RED CAL,40% FAT,STK,W/SALT",356,0.6,40.0,0.0
22,Female,46,177,Moderately active,Maintain Weight,Dinner,"PEACHES,DRIED,SULFURED,STWD,WO/ SUGAR",77,1.16,0.25,2.700000048
22,Female,46,177,Moderately active,Maintain Weight,Dinner,"BROADBEANS (FAVA BEANS),MATURE SEEDS,RAW",341,26.12,1.53,25.0
56,Male,71,166,Lightly active,Fat Loss,Breakfast,"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,SEL,CKD,RSTD",316,23.9,23.7,0.0
56,Male,71,166,Lightly active,Fat Loss,Breakfast,"PURSLANE,CKD,BLD,DRND,W/SALT",18,1.49,0.19,0.0
56,Male,71,166,Lightly active,Fat Loss,Lunch,"CABBAGE,RED,CKD,BLD,DRND,W/SALT",29,1.51,0.09,2.599999905
56,Male,71,166,Lightly active,Fat Loss,Lunch,"LAMB,AUS,IMP,FRSH,RIB,LN&FAT,1/8""FAT,CKD,RSTD",277,22.24,20.21,0.0
56,Male,71,166,Lightly active,Fat Loss,Dinner,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",225,26.41,12.45,0.0
56,Male,71,166,Lightly active,Fat Loss,Dinner,"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",39,1.63,0.2,1.600000024
33,Male,75,154,Moderately active,Weight Gain,Breakfast,"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF CHICK SOUP,COND",97,2.42,6.45,1.600000024
33,Male,75,154,Moderately active,Weight Gain,Breakfast,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,RSTD",192,25.46,9.26,0.0
33,Male,75,154,Moderately active,Weight Gain,Lunch,"PEPPER,BLACK",255,10.95,3.26,26.5
33,Male,75,154,Moderately active,Weight Gain,Lunch,"PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN,CKD,BRSD",175,27.0,6.6,0.0
33,Male,75,154,Moderately active,Weight Gain,Dinner,"LEMONADE,LO CAL,W/ASPRT,PDR",332,3.6,0.3,0.100000001
33,Male,75,154,Moderately active,Weight Gain,Dinner,"FAST FOODS,CHIMICHANGA,W/BF&RED CHILI PEPPERS",223,9.53,10.07,0.0
54,Male,64,163,Moderately active,Maintain Weight,Breakfast,"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",164,8.86,0.21,2.0
54,Male,64,163,Moderately active,Maintain Weight,Breakfast,"POTATO CHIPS,MADE FR DRIED POTATOES,SOUR-CREAM&ONION-FLAVOR",547,6.6,37.0,1.200000048
54,Male,64,163,Moderately active,Maintain Weight,Lunch,"CABBAGE,MUSTARD,SALTED",28,1.1,0.1,3.099999905
54,Male,64,163,Moderately active,Maintain Weight,Lunch,"APPLES,RAW,WO/SKN,CKD,BLD",53,0.26,0.36,2.400000095
54,Male,64,163,Moderately active,Maintain Weight,Dinner,"SPEARMINT,DRIED",285,19.93,6.03,29.79999924
54,Male,64,163,Moderately active,Maintain Weight,Dinner,"WATER,TAP,WELL",0,0.0,0.0,0.0
31,Male,48,152,Sedentary,Weight Gain,Breakfast,"LEAVENING AGENTS,BAKING SODA",0,0.0,0.0,0.0
31,Male,48,152,Sedentary,Weight Gain,Breakfast,"CHEESE,PROVOLONE",351,25.58,26.62,0.0
31,Male,48,152,Sedentary,Weight Gain,Lunch,"KELLOGG,KELLOGG'S EGGO,BTTRMLK PANCAKE",233,6.0,6.69,1.100000024
31,Male,48,152,Sedentary,Weight Gain,Lunch,"COOKIES,OATMEAL,COMMLY PREP,FAT-FREE",326,5.9,1.5,7.300000191
31,Male,48,152,Sedentary,Weight Gain,Dinner,"SOUP,CHICK,CND,CHUNKY,RTS",71,5.06,2.64,0.600000024
31,Male,48,152,Sedentary,Weight Gain,Dinner,"BABYFOOD,MEAT,HAM,JUNIOR",97,11.3,3.8,0.0
47,Male,55,185,Very active,Fat Loss,Breakfast,"BUTTERBUR,CANNED",3,0.11,0.13,0.0
47,Male,55,185,Very active,Fat Loss,Breakfast,"BEEF,TENDERLOIN,LN&FAT,1/8""FAT,SEL,RAW",249,19.37,18.46,0.0
47,Male,55,185,Very active,Fat Loss,Lunch,"CAKE,CARROT,DRY MIX,PUDDING-TYPE",415,5.1,9.8,0.0
47,Male,55,185,Very active,Fat Loss,Lunch,"CORN-BASED,EXTRUDED,CHIPS,PLN",518,6.03,28.41,5.300000191
47,Male,55,185,Very active,Fat Loss,Dinner,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR",269,28.56,14.92,0.100000001
47,Male,55,185,Very active,Fat Loss,Dinner,"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,PDR",509,11.3,26.1,0.0
32,Female,76,158,Very active,Fat Loss,Breakfast,"SPEARMINT,DRIED",285,19.93,6.03,29.79999924
32,Female,76,158,Very active,Fat Loss,Breakfast,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,NO SALT",51,1.53,0.07,0.400000006
32,Female,76,158,Very active,Fat Loss,Lunch,"BREAD,ITALIAN",271,8.8,3.5,2.700000048
32,Female,76,158,Very active,Fat Loss,Lunch,"CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW",200,17.15,14.02,0.0
32,Female,76,158,Very active,Fat Loss,Dinner,"ICE CREAMS,VANILLA,FAT FREE",138,4.48,0.0,1.0
32,Female,76,158,Very active,Fat Loss,Dinner,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,CKD,BRSD",273,26.49,17.71,0.0
19,Female,61,153,Moderately active,Maintain Weight,Breakfast,"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,UNBLEACHED,ENR",363,11.5,1.45,2.400000095
19,Female,61,153,Moderately active,Maintain Weight,Breakfast,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",276,14.97,23.54,0.0
19,Female,61,153,Moderately active,Maintain Weight,Lunch,"PATE,GOOSE LIVER,SMOKED,CND",462,11.4,43.84,0.0
19,Female,61,153,Moderately active,Maintain Weight,Lunch,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY; PLN",303,15.13,13.93,1.0
19,Female,61,153,Moderately active,Maintain Weight,Dinner,"POLLOCK,WALLEYE,RAW",81,17.18,0.8,0.0
19,Female,61,153,Moderately active,Maintain Weight,Dinner,HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,310,13.24,27.24,0.0
18,Female,84,176,Sedentary,Maintain Weight,Breakfast,"WHIPPED TOPPING,FRZ,LOFAT",224,3.0,13.1,0.0
18,Female,84,176,Sedentary,Maintain Weight,Breakfast,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,0.0
18,Female,84,176,Sedentary,Maintain Weight,Lunch,"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",367,10.0,4.0,7.300000191
18,Female,84,176,Sedentary,Maintain Weight,Lunch,"USDA CMDTY,LUNCHEON MEAT,CND",189,17.5,12.77,0.0
18,Female,84,176,Sedentary,Maintain Weight,Dinner,"NOODLES,CHINESE,CHOW MEIN",527,8.38,30.76,3.900000095
18,Female,84,176,Sedentary,Maintain Weight,Dinner,LOUIS RICH  TURKEY BACON,250,15.1,20.3,0.0
24,Male,72,172,Moderately active,Fat Loss,Breakfast,"BUTTERBUR,CKD,BLD,DRND,WO/SALT",8,0.23,0.02,0.0
24,Male,72,172,Moderately active,Fat Loss,Breakfast,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",399,4.8,4.6,0.200000003
24,Male,72,172,Moderately active,Fat Loss,Lunch,"CHICKEN NUGGETS,FRZ,CKD",296,15.27,19.82,2.099999905
24,Male,72,172,Moderately active,Fat Loss,Lunch,"BUCKWHEAT GROATS,RSTD,CKD",92,3.38,0.62,2.700000048
24,Male,72,172,Moderately active,Fat Loss,Dinner,"SAUCE,BARBECUE",150,0.0,0.29,0.600000024
24,Male,72,172,Moderately active,Fat Loss,Dinner,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",71,2.54,1.52,1.700000048
31,Female,69,170,Very active,Maintain Weight,Breakfast,"PUDDINGS,COCNT CRM,DRY MIX,INST,PREP W/ WHL MILK",117,2.9,3.5,0.100000001
31,Female,69,170,Very active,Maintain Weight,Breakfast,"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE CHICK GRAVY",25,1.69,0.0,0.0
31,Female,69,170,Very active,Maintain Weight,Lunch,"CEREALS RTE,QUAKER,QUAKER COCOA BLASTS",394,3.67,3.54,2.5
31,Female,69,170,Very active,Maintain Weight,Lunch,"PUMPKIN LEAVES,CKD,BLD,DRND,W/ SALT",21,2.72,0.22,2.700000048
31,Female,69,170,Very active,Maintain Weight,Dinner,"CHEESE,CAMEMBERT",300,19.8,24.26,0.0
31,Female,69,170,Very active,Maintain Weight,Dinner,"TEA,HERB,OTHER THAN CHAMOMILE,BREWED",1,0.0,0.0,0.0
58,Male,75,151,Lightly active,Fat Loss,Breakfast,"CAMPBELL SOUP COMPANY,PACE,TRIPLE PEPPER SALSA",47,3.13,0.0,3.099999905
58,Male,75,151,Lightly active,Fat Loss,Breakfast,"SMOKED LINK SAUSAGE,PORK&BF,FLR&NONFAT DRY MILK",268,13.97,21.43,0.0
58,Male,75,151,Lightly active,Fat Loss,Lunch,"CRACKERS,WHEAT,REGULAR",474,8.6,20.6,4.5
58,Male,75,151,Lightly active,Fat Loss,Lunch,"CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",42,1.22,1.63,0.800000012
58,Male,75,151,Lightly active,Fat Loss,Dinner,"ROLLS,HAMBURGER OR HOTDOG,RED-CAL",196,8.3,2.0,6.199999809
58,Male,75,151,Lightly active,Fat Loss,Dinner,"PEARS,CND,H2O PK,SOL&LIQUIDS",29,0.19,0.03,1.600000024
41,Male,80,184,Lightly active,Fat Loss,Breakfast,"ARROWROOT,RAW",65,4.24,0.2,1.299999952
41,Male,80,184,Lightly active,Fat Loss,Breakfast,"PUDDINGS,COCNT CRM,DRY MIX,REG,PREP W/ 2% MILK",104,3.1,2.5,0.200000003
41,Male,80,184,Lightly active,Fat Loss,Lunch,"MUSSEL,BLUE,CKD,MOIST HEAT",172,23.8,4.48,0.0
41,Male,80,184,Lightly active,Fat Loss,Lunch,"ICE CREAMS,FRENCH VANILLA,SOFT-SERVE",222,4.1,13.0,0.699999988
41,Male,80,184,Lightly active,Fat Loss,Dinner,"BEEF,SHRT LOIN,TOP LOIN,LN&FAT,1/8""FAT,PRIME,RAW",281,19.0,22.17,0.0
41,Male,80,184,Lightly active,Fat Loss,Dinner,"CARBONATED BEV,GRAPE SODA",43,0.0,0.0,0.0
32,Male,79,178,Moderately active,Weight Gain,Breakfast,"TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,RAW",159,20.85,7.72,0.0
32,Male,79,178,Moderately active,Weight Gain,Breakfast,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",201,18.76,13.37,0.0
32,Male,79,178,Moderately active,Weight Gain,Lunch,"BUTTER,WITH SALT",717,0.85,81.11,0.0
32,Male,79,178,Moderately active,Weight Gain,Lunch,"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,DRY",389,9.29,8.37,6.400000095
32,Male,79,178,Moderately active,Weight Gain,Dinner,"MORNINGSTAR FARMS MEAL STARTERS STEAK STRIPS,FRZ,UNPREP",173,26.1,4.1,1.100000024
32,Male,79,178,Moderately active,Weight Gain,Dinner,"TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW",110,22.32,1.58,0.0
35,Male,59,152,Moderately active,Fat Loss,Breakfast,"CASSAVA,RAW",160,1.36,0.28,1.799999952
35,Male,59,152,Moderately active,Fat Loss,Breakfast,"WATER,BTLD,GENERIC",0,0.0,0.0,0.0
35,Male,59,152,Moderately active,Fat Loss,Lunch,"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,IRON,PDR",502,12.5,25.5,0.0
35,Male,59,152,Moderately active,Fat Loss,Lunch,"CHESTNUTS,JAPANESE,RAW",154,2.25,0.53,0.0
35,Male,59,152,Moderately active,Fat Loss,Dinner,BLOOD SAUSAGE,379,14.6,34.5,0.0
35,Male,59,152,Moderately active,Fat Loss,Dinner,"COWPEAS (BLACKEYES),IMMTRE SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",132,8.49,0.66,6.400000095
33,Female,78,178,Moderately active,Maintain Weight,Breakfast,"SOUP,TOMATO,CND,COND,RED NA",65,1.61,0.56,1.200000048
33,Female,78,178,Moderately active,Maintain Weight,Breakfast,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",53,2.89,0.34,8.600000381
33,Female,78,178,Moderately active,Maintain Weight,Lunch,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",25,0.0,0.0,0.0
33,Female,78,178,Moderately active,Maintain Weight,Lunch,"RICE CAKES,BROWN RICE,MULTIGRAIN",387,8.5,3.5,3.0
33,Female,78,178,Moderately active,Maintain Weight,Dinner,"SAUSAGE,CHICK&BF,SMOKED",296,18.5,24.0,0.0
33,Female,78,178,Moderately active,Maintain Weight,Dinner,"BEEF,RND,TIP RND,LN&FAT,0""FAT,SEL,CKD,RSTD",181,26.57,7.53,0.0
59,Female,78,160,Sedentary,Fat Loss,Breakfast,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,UNHTD",107,17.93,3.38,0.0
59,Female,78,160,Sedentary,Fat Loss,Breakfast,"KIWI FRUIT,(CHINESE GOOSEBERRIES),FRSH,RAW",61,1.14,0.52,3.0
59,Female,78,160,Sedentary,Fat Loss,Lunch,"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT",87,1.87,0.1,2.0
59,Female,78,160,Sedentary,Fat Loss,Lunch,"GUANABANA NECTAR,CND",59,0.11,0.17,0.100000001
59,Female,78,160,Sedentary,Fat Loss,Dinner,"KAMUT,UNCKD",337,14.7,2.2,9.100000381
59,Female,78,160,Sedentary,Fat Loss,Dinner,"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND",56,1.59,0.4,1.600000024
39,Female,72,155,Lightly active,Maintain Weight,Breakfast,"LAMB,DOM,LEG,SHANK HALF,LN&FAT,1/4""FAT,CHOIC,RAW",201,18.58,13.49,0.0
39,Female,72,155,Lightly active,Maintain Weight,Breakfast,"DANISH PASTRY,FRUIT,ENR",371,5.4,18.5,1.899999976
39,Female,72,155,Lightly active,Maintain Weight,Lunch,"BREAD STUFFING,CORNBREAD,DRY MIX",389,10.0,4.2,14.30000019
39,Female,72,155,Lightly active,Maintain Weight,Lunch,"TAMARIND NECTAR,CND",57,0.09,0.12,0.5
39,Female,72,155,Lightly active,Maintain Weight,Dinner,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,LO NA",375,22.2,31.19,0.0
39,Female,72,155,Lightly active,Maintain Weight,Dinner,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,BATTER",268,21.95,15.75,0.300000012
37,Female,60,161,Very active,Weight Gain,Breakfast,"CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL",376,7.23,2.88,4.300000191
37,Female,60,161,Very active,Weight Gain,Breakfast,"DRINK MIX,QUAKER OATS,GATORADE,ORANGE FLAVOR,PDR",388,0.0,1.23,0.0
37,Female,60,161,Very active,Weight Gain,Lunch,"VITASOY USA,ORGANIC NASOYA SUPER FIRM CUBED TOFU",122,12.4,6.3,2.200000048
37,Female,60,161,Very active,Weight Gain,Lunch,"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",41,2.54,1.85,0.200000003
37,Female,60,161,Very active,Weight Gain,Dinner,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",396,3.7,2.6,1.799999952
37,Female,60,161,Very active,Weight Gain,Dinner,"GRAPEFRUIT JUICE,PINK,RAW",39,0.5,0.1,0.0
52,Male,56,179,Sedentary,Fat Loss,Breakfast,"MCDONALD'S,BIG MAC (WITHOUT BIG MAC SAUCE)",234,12.79,11.57,1.700000048
52,Male,56,179,Sedentary,Fat Loss,Breakfast,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CKD",270,25.26,17.98,0.0
52,Male,56,179,Sedentary,Fat Loss,Lunch,"CATFISH,CHANNEL,FARMED,RAW",135,15.55,7.59,0.0
52,Male,56,179,Sedentary,Fat Loss,Lunch,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61,1.75,3.41,0.0
52,Male,56,179,Sedentary,Fat Loss,Dinner,"CEREALS RTE,RICE,PUFFED,PRESWEETENED,W/ COCOA,SINGLE BRAND",398,3.5,4.2,1.600000024
52,Male,56,179,Sedentary,Fat Loss,Dinner,"PEPPERS,JALAPENO,RAW",30,1.35,0.62,2.799999952
